Release_ID,Market,Release_Date,Opening,Gross,Film_Title,Ticket_prices_2014,Population_2021,Popularity
gr4195045893,Greece,"Jan 23, 1998",,12939602,Titanic,10.92,10151560,13.91908769
gr4195045893,Jamaica,"Jan 27, 1998",,646208,Titanic,9.29,2480787,2.419906393
gr4195045893,Netherlands,"Jan 29, 1998",,27024273,Titanic,12.29,15309963.83,21.69360547
gr4195045893,United Arab Emirates,"Jan 29, 1998",,2940983,Titanic,9.53,4109484.5,6.820215039
gr4195045893,Indonesia,"Jan 6, 1998",,2989269,Titanic,3.87,195087678.2,0.05929883
gr4195045893,Switzerland,"Jan 7, 1998",,19449406,Titanic,20.21,7115768.333,55.239642
gr4195045893,France,"Jan 7, 1998",,129127181,Titanic,12.29,58077819.17,27.32494225
gr4195045893,Belgium,"Jan 7, 1998",,20701637,Titanic,12.29,10386352.33,24.4959068
gr4195045893,Germany,"Jan 8, 1998",,129974110,Titanic,12.29,80321215.83,19.88742072
gr4195045893,Slovenia,"Jan 8, 1998",,1460506,Titanic,7.51,1936968.167,5.662664079
gr4195045893,Austria,"Jan 9, 1998",,11666369,Titanic,12.29,8055927.167,17.79803517
gr4195045893,Israel,"Jan 9, 1998",,8538685,Titanic,10.8,5485158.667,16.81223892
gr4195045893,Spain,"Jan 9, 1998",,44103989,Titanic,10.92,40882502.83,11.78048129
gr4195045893,Uruguay,"Jan 9, 1998",,2137938,Titanic,8.89,3164587.333,6.005923306
gr4195045893,Jordan,"Mar 10, 1998",,419652,Titanic,9.89,5042062.333,0.82314696
gr4195045893,Latvia,"Mar 13, 1998",,315752,Titanic,7.79,2325512.333,1.057705885
gr4195045893,Paraguay,"Mar 14, 1998",,406426,Titanic,6,4763927,0.51187938
gr4195045893,Croatia,"Mar 19, 1998",,1658271,Titanic,5.89,4443180.667,2.198248715
gr4195045893,Yugoslavia,"Mar 19, 1998",,1293350,Titanic,4,23528230,0.219880544
gr4195045893,Bulgaria,"Mar 27, 1998",,1024062,Titanic,6.86,8099868.333,0.867306113
gr4195045893,Estonia,"Mar 6, 1998",,472529,Titanic,7.85,1409605.833,2.631482193
gr4195045893,Lithuania,"Mar 6, 1998",,557107,Titanic,7.12,3268554.167,1.213564664
gr4195045893,India,"Mar 6, 1998",,12749919,Titanic,3.22,966380256.3,0.042483007
gr4195045893,East Africa,"May 22, 1998",,226192,Titanic,5.12,218816136,0.005292585
gr4195045893,Syria,"May 29, 1998",,,Titanic,4.24,13833586.83,0
