Movie_ID,Member_Name,Role,Film_Title,Gross,IMDB,Year,Classification
tt2488496,George Lucas,Writer,Star Wars: Episode VII - The Force Awakens,2068223624,7.9,Walt Disney Studios Motion Pictures,M
tt2488496,J.J. Abrams,Producer,Star Wars: Episode VII - The Force Awakens,2068223624,7.9,Walt Disney Studios Motion Pictures,M
tt2488496,Bryan Burk,Producer,Star Wars: Episode VII - The Force Awakens,2068223624,7.9,Walt Disney Studios Motion Pictures,M
tt2488496,Kathleen Kennedy,Producer,Star Wars: Episode VII - The Force Awakens,2068223624,7.9,Walt Disney Studios Motion Pictures,M
tt2488496,John Williams,Composer,Star Wars: Episode VII - The Force Awakens,2068223624,7.9,Walt Disney Studios Motion Pictures,M
tt2488496,Dan Mindel,Cinematographer,Star Wars: Episode VII - The Force Awakens,2068223624,7.9,Walt Disney Studios Motion Pictures,M
tt2488496,Maryann Brandon,Editor,Star Wars: Episode VII - The Force Awakens,2068223624,7.9,Walt Disney Studios Motion Pictures,M
tt2488496,Mary Jo Markey,Editor,Star Wars: Episode VII - The Force Awakens,2068223624,7.9,Walt Disney Studios Motion Pictures,M
tt2488496,Rick Carter,Production Designer,Star Wars: Episode VII - The Force Awakens,2068223624,7.9,Walt Disney Studios Motion Pictures,M
tt2488496,Darren Gilford,Production Designer,Star Wars: Episode VII - The Force Awakens,2068223624,7.9,Walt Disney Studios Motion Pictures,M
tt2488496,Daisy Ridley,Actor,Star Wars: Episode VII - The Force Awakens,2068223624,7.9,Walt Disney Studios Motion Pictures,M
tt2488496,John Boyega,Actor,Star Wars: Episode VII - The Force Awakens,2068223624,7.9,Walt Disney Studios Motion Pictures,M
tt2488496,Oscar Isaac,Actor,Star Wars: Episode VII - The Force Awakens,2068223624,7.9,Walt Disney Studios Motion Pictures,M
tt2488496,Domhnall Gleeson,Actor,Star Wars: Episode VII - The Force Awakens,2068223624,7.9,Walt Disney Studios Motion Pictures,M
tt4154756,Anthony Russo,Director,Avengers: Infinity War,2048359754,8.4,Walt Disney Studios Motion Pictures,M
tt4154756,Joe Russo,Director,Avengers: Infinity War,2048359754,8.4,Walt Disney Studios Motion Pictures,M
tt4154756,Christopher Markus,Writer,Avengers: Infinity War,2048359754,8.4,Walt Disney Studios Motion Pictures,M
tt4154756,Stephen McFeely,Writer,Avengers: Infinity War,2048359754,8.4,Walt Disney Studios Motion Pictures,M
tt4154756,Stan Lee,Writer,Avengers: Infinity War,2048359754,8.4,Walt Disney Studios Motion Pictures,M
